title_ch,title_eng,body,hsk_level,link
鼓励新能源汽车发展,Encourage the development of new energy vehicles,新能源汽车是指采用非常规的燃料作为动力来源，或采用新型车载动力装置，综合动力方面的先进技术而形成的具有新技术、新结构的汽车。比如现在常见的电动汽车、混合动力汽车等都是新能源汽车。 最近的政府工作报告中提出，继续支持新能源汽车消费，鼓励地方开展绿色智能家电下乡和以旧换新。这一方面说明政府实现双碳目标持之以恒的信心和决心，另一方面说明政府希望用新能源汽车作为经济发展的一个引擎，带动制造产业发展。 随着中国不断推进碳达峰、碳中和，减少尾气排放的新能源车也成了助力之一。并且从能源结构来看，使用清洁能源更有利于能源的自给自足，减少石油天然气方面的进口依赖。 2021年新能源汽车销售井喷，全年销量达到352万辆、增长1.6倍，今年要继续支持新能源汽车消费。一方面，中国新能源汽车发展态势良好，中高端新能源汽车产品逐渐增多，整个行业对于中国GDP的拉动作用较为明显。另一方面，大力发展新能源汽车，有助于推动中国汽车产业结构升级。目前，中国已经成为全球最大的汽车市场。,6,https://mandarinbean.com/encourage-the-development-of-new-energy-vehicles/
特别的冬奥火炬手,Special Winter Olympic Torchbearer,2022年北京冬奥会的火炬接力中有一位特别的火炬手，他叫栾玉帅，是一位快递小哥。栾玉帅来自东北农村，2015年进入物流行业成为一名快递员。因为勤快又吃苦耐劳，每天都能比别人多送几十单快递。2017年，他第一次跑完了马拉松比赛，从此以后每天坚持跑步，就连送快递的时候都绑着沙袋负重训练，把工作和训练完美结合在一起。去年北京半程马拉松比赛上，他得了非职业选手第一名，被网友称为“跑得最快的快递小哥”。栾玉帅就这样一路奔跑，从大街小巷跑到马拉松赛场，现在又跑上了冬奥会，梦想变成了现实。作为作出突出贡献的不平凡的普通人，他也是广大快递员的代表。,5,https://mandarinbean.com/special-winter-olympic-torchbearer/
撒哈拉沙漠再次下雪,It’s snowing again in the Sahara desert,2022年岛国汤加火山爆发了以后，不少气象专家都指出我们的地球可能在一两年内出现气温下滑。全球的异常寒冷气候在不少地区上演，就连世界上最干旱地区之一的撒哈拉沙漠都再次迎来降雪。这次撒哈拉沙漠的降雪地区最高可达58度，突如其来的降雪让大家震惊。然而2021年全球平均气温却显示地球并没有大降温，反而出现了比工业化时代更强的气温，二氧化碳和甲烷浓度也达到创纪录的水平。不论是地球变暖还是地球降温，我们都能清晰察觉到气候的巨大变化，以及各种极端天气的出现。接下来，我们都要好好考虑，到底该如何保护环境，让人类更好地生存下去。,6,https://mandarinbean.com/its-snowing-again-in-the-sahara-desert/
埃及太阳船,Egyptian Solar Boat,不久前，埃及把位于开罗郊外金字塔群的太阳船搬到了即将对外开放的大埃及博物馆，这引起了大家的关注。 人们对金字塔耳熟能详，却对太阳船不太了解。其实，太阳船原本就在最大的金字塔旁边。人们参观金字塔时，也会对这艘太阳船感到震撼。整艘船都被放在一个用玻璃材料封起来的密闭空间里。而这座庞大的玻璃建筑，是埃及政府于1982年出资建立，意大利人帮忙设计的太阳船博物馆。它防腐、防污染、防辐射，内部的温度和湿度全由电脑控制。 这艘太阳船已经有4500多年的历史了。它由1220多块木板制成，非常坚固，防腐能力也超强。整艘船没有使用一根铁钉，漂亮的形状让人们震惊。这可能是世界上最大、最古老、最完整的船，如果放入水中，今天依然可以航行。这不仅是埃及的骄傲，也是全人类的骄傲。,5,https://mandarinbean.com/egyptian-solar-boat/
2021年谷歌用户热搜词,Top search terms by Google users in 2021,2021年即将过去，谷歌发布了2021年全球用户搜索内容的报告，对这一年谷歌用户的热门搜索内容和主题做了一个汇总。除了综合结果以外，还包括新闻、人物、体育、电影、游戏等主题的热搜词。 在综合搜索结果中，新冠疫苗、鱿鱼游戏、美洲杯、欧洲杯、NBA等词最受全球谷歌用户关注。而前十名的热词中，和体育比赛有关的词占了七个。我们可以看到，大家除了关心健康，最关心的话题仍然是体育比赛。 新闻类热搜中，新冠疫苗、狗狗币、AMC股票、阿富汗等词名列前茅。其中狗狗币因为被埃隆·马斯克大力鼓吹而暴涨100多倍，受到大家的关注。 由于新冠疫情导致全球各地很多地方都有不同的隔离政策，长期没有旅行的人们在2021年对“我可以去哪里旅行”的搜索量比去年高了三倍。 从全年来看，对于一些大家持续关注的问题，比如气候变化、可持续发展等内容的搜索，在2021年均创下历史新高。,6,https://mandarinbean.com/top-search-terms-by-google-users-in-2021/
天才少女谷爱凌,Genius girl Gu Ailing,谷爱凌是2022北京冬奥会的一颗明星。她是天才滑雪少女，中国人最关注的焦点之一。 作为一个中美混血，谷爱凌出生于美国加州。妈妈是中国人，爸爸是美国人。因为妈妈喜欢滑雪，曾经是滑雪教练，所以她从三岁开始就接触滑雪了。2011年，谷爱凌开始学习自由式滑雪，并加入专业滑雪队。十三岁就开始参加成人比赛，一年时间获得了50枚金牌，十五岁时拿到了世界杯金牌，并登上国际雪联总积分榜榜首，可谓是不折不扣的天才滑雪运动员。当然，天才的背后是辛苦的努力和汗水，她也因为训练受过无数的伤痛，最终坚持下来赢得各种胜利。她用实力让周围的质疑变成了掌声。 除了是滑雪明星，谷爱凌也是学霸。2020年以SAT1580分的优秀成绩被斯坦福大学录取。她说，边滑雪边学习，这事对谁都是很难的，所以要先把百分之百的精力投入到学习上，解决完学习的事情之后，再百分之百投入到体育运动，这样两个事情就都能处理好了。 因为谷爱凌的妈妈对于她的中国文化教育很重视，所以两岁开始每年暑假都要回到北京，一直学习中文，现在能说一口流利的普通话。也因为家庭的教育和熏陶，她也从心里认同自己的中国人身份，因此，2019年她放弃美国国籍，加入了中国国籍，成为中国国家滑雪队的一员。谷爱凌回到中国，代表中国参加各种比赛，也希望通过自己的例子，将滑雪运动传播得更远。同时也让更多的女孩们看到，女性也可以参加极限运动，女性也可以做到如此优秀，鼓舞更多的女孩。,5,https://mandarinbean.com/genius-girl-gu-ailing/
2021年度汉字：难,The Chinese character of 2021: Nán,近日，2021年度汉字在台北揭晓，“难”字高票当选。这项评选活动从2008年开始每年举办。今年的评选活动从11月开始，在“困、迷、变、复、缓、拼、忧、难、危、忙……”等入选汉字中，经过两轮的投票选择，“难”字脱颖而出。 受到疫情反复和两岸关系的影响，不少被推荐的汉字都比较消极。2021年新冠疫情反复，变异病毒层出不穷，人类与疾病艰难抗争，而大陆与台湾两岸的关系也有很多困难。希望大家可以克服困难，消除疫情的影响，重振经济，改善大陆和台湾的两岸关系。,6,https://mandarinbean.com/the-chinese-character-of-2021-nan/
中国的生育政策,China’s Family Planning Policy,2021年，中国的生育政策迎来重大调整，开始实施一对夫妻可以生育三个孩子的政策。这项政策有利于改善中国人口结构，更好地应对人口老龄化的问题，保持人力资源丰富的优势。 这是八年以来中国生育政策的第三次重大调整。2013年底，推行了四十多年的全面计划生育政策开始松动；2016年，生育政策进一步调整，开始全面推行可以生育第二个孩子的政策。 中国目前60岁以上的人口比重达到了18.7%，已经达到中度老龄化社会水平。为了破解老龄化程度加深的难题，改善人口结构，需要继续推进生育政策。并且，一直以来，由于生育、养育、教育成本高等原因，年轻人生育意愿不高，这种现象在大城市特别明显。因此如果做好相应的生育支持措施，完善基本的生育政策，那么将会有效缓解大家的顾虑。比如，推行税收、住房等支持政策，建立各种奖励制度和优惠政策，为父母减轻负担等。 总之，想要优化人口结构、推动生育水平是一个系统工程，还有很多事要做。而孩子是社会的未来，如果想鼓励生育，必须要保护孩子的利益，让孩子们能够在足够的关爱和陪伴中健康成长。,5,https://mandarinbean.com/chinas-family-planning-policy/
谷歌的新功能,Google’s new features,谷歌在直播的SearchOn会议上表示，谷歌用户很快就可以在视频推送和购物过程中，在搜索查询中结合图像和文本。这个视觉搜索新功能将在几个月内通过GoogleLens发布。 借助这项新功能，你可以在寻找一些单凭语言难以描述的东西时得到很大帮助。比如，你在查看衬衫图片时点击Lens，谷歌就会帮你找到有着相同图案的另一件服装。 这项技术还可以对视频进行分类。比如你的自行车坏了，你需要关于如何修理的一些指导，而提问式的搜索模式会让你更容易找到视频中能够为你提供帮助的确切时刻。 使更多项目可搜索是另一个优先事项。谷歌公司正在向政府和组织授权一款免费的应用程序，为谷歌地图上尚未列出的企业和家庭绘制路线和分配地址。这可以将政府和组织为一个城镇分配地址的时间从几年缩短到几周。 人工智能软件的进步使这一切功能的实现成为可能。而这些功能的推出将帮助谷歌扩大它在电子商务中的地位，并进一步支持谷歌在在线视频领域占据主导地位。,6,https://mandarinbean.com/googles-new-features/
北京冬奥会的住宿与饮食,Accommodation and food for the Beijing Winter Olympics,最近，北京冬奥会组委会在新闻发布会上介绍，冬奥会的酒店将为客人们营造春节氛围的住宿和饮食。 这届北京冬奥会期间正好是中国的春节，一方面酒店会营造春节的氛围，北京和河北的旅游部门为客人们准备了一些特色纪念品，在酒店外也可以满足大家的购物需求。另一方面每位客人到达酒店客房时都能收到一封欢迎信和一张联系卡，如果客人入住期间有什么问题和需求都可以随时联系，让联系人帮忙解决。 由于冬奥会在疫情的特殊时期举办，酒店也尽力做好餐饮方面的服务工作，每个酒店都分别设置了各种不同价格、不同风味的餐食，24小时提供送餐服务。而餐饮方面也突出了中国春节的特点和北京的特色，比如著名的烤鸭、春卷、元宵、饺子等。除了特色以外，组委会也充分考虑了热量、营养等方面的因素，希望能满足不同地区和民族的需求。,5,https://mandarinbean.com/accommodation-and-food-for-the-beijing-winter-olympics/
