title_ch,title_eng,body,hsk_level,link
我和小李,Me and Li,我和小李是好朋友，我们经常见面。有时候我们一起吃饭，有时候一起去商店买东西，有时候小李帮助我学习汉语，有时候我帮助她学习英语。这个周日，我们准备一起运动。我喜欢打羽毛球，她喜欢游泳。我们想先打羽毛球，再去游泳，两个人都会很高兴。,2,https://mandarinbean.com/me-and-li/
我的一个下午,One of my afternoons,我想今天下午去看电影，但是没有好电影。我就打电话给我的好朋友，想和她一起去运动，但是她说今天身体不舒服，我们只能去商场买东西了。我们看见一条漂亮的裙子，她喜欢白色，我喜欢黑色，但是黑色的裙子有点儿贵，所以我买了两条白色的，一条给自己，一条送给她,2,https://mandarinbean.com/one-of-my-afternoons/
散步,Take a walk,一天晚上，一个男孩和一个女孩在公园散步。 男孩说:”今天晚上的天气不太好，有点儿冷。” 女孩说:”是的，我也觉得今天晚上有点儿冷。” 说完后，男孩看了看自己的衣服。这时女孩心里很高兴，她以为男孩要把自己的衣服给她穿。但是男孩说:”还好我今天穿了两件衣服。”,2,https://mandarinbean.com/take-a-walk/
口渴,Thirsty,一个男人对他的朋友说：我做了一次手术，手术后医生把一块海绵忘在我的身体里了。 朋友说：太糟糕了！你会觉得疼吗？ 这个男人说：不疼，只是经常很渴。,2,https://mandarinbean.com/thirsty/
寄信,Send a letter,有一天，爸爸让八岁的女儿去寄一封信，女儿已经拿着信跑了，爸爸才想起信封上没写地址和收信人的名字。 女儿回来后，爸爸问她：你把信丢进邮筒了吗? 女儿回答：当然。 爸爸：你没看见信封上没有写地址和收信人名字吗? 女儿：我当然看见信封上什么也没写。 爸爸：那你为什么不拿回来呢？ 女儿：我还以为你不写地址和收信人,2,https://mandarinbean.com/send-a-letter/
做事,Do Things,李明刚上一年级，非常不喜欢做作业。一天晚上，他对妈妈说：”妈妈，我今天不想写作业了，明天写可以吗？” 妈妈说：”自己的事情要自己做，今天的事情也要今天完成，不要留到明天。” 李明说：”好吧，妈妈，你可以把刚才的蛋糕给我吗？这是今天的蛋糕，所以我要今天把它吃完。”,2,https://mandarinbean.com/do-things/
芭蕾舞,Ballet,有一天,2,https://mandarinbean.com/ballet/
儿子和女儿,Son and Daughter,有两个老太太在一起说话，她们中的一个问：“你儿子还好吧？” “真是不幸！”老太太说：“他的老婆太不好了，不做饭、不洗衣服、不带孩子，天天就是睡觉，我儿子还每天做好饭，送到房间里给她吃呢！” “那女儿呢？” “那她可就好了。”老太太笑了：“她有一个不错的老公。所有的事都是老公来做，洗衣服、带孩子，她老公还每天做好饭，送到房间里给她吃呢！”,2,https://mandarinbean.com/son-and-daughter/
早点儿睡觉,Sleep Earlier,哥哥今天很累，我问他为什么，他说昨天晚上睡得太晚了。我觉得很奇怪，因为他昨天晚上9点就说要睡觉了。他说在睡觉前想起来有一件事要做，可是忘记了是什么事情，想了很长时间，最后终于想起来了，这件事就是要早点儿上床睡觉。,2,https://mandarinbean.com/sleep-earlier/
爸妈不在家,Dad and mom are not at home,今天爸爸妈妈不在家，我和弟弟妹妹在家。 妹妹想喝可乐，吃米饭；弟弟想喝茶，吃面条；我想喝咖啡，吃面包。但是我不会做米饭和面条，他们不喜欢面包，这是个问题。 爸爸妈妈什么时候回家呢？,1,https://mandarinbean.com/dad-and-mom-are-not-at-home/
