title_ch,title_eng,body,hsk_level,link
不宜久坐,Do not sit for long periods of time,现代人的生活方式使他们不得不久坐。屏幕前工作、学习等让大家坐着的时间远大于活动的时间。 你知道吗？一个成年人每周至少需要进行150至300分钟的中等强度有氧运动，或者至少75至150分钟的高强度有氧运动，才能达到运动健身的标准。除了有氧运动，还需要每周至少有两天进行中等或更高强度的无氧运动，锻炼你的主要肌肉群。 研究发现，即使你满足了这些运动时间，但是每天久坐达到11个小时以上，则会削弱你的运动效果。久坐，特别是不良姿势的久坐，还会带来很多对身体的负面影响，增加各种慢性疾病的发生风险，增高死亡风险。 怎么解决这个问题呢？世界卫生组织建议大家可以尝试打断久坐的状态。每半个小时或一个小时就站起来活动身体，这样可以预防久坐行为带来的健康风险。除此之外，我们还可以见缝插针地活动身体，例如多走路，少外卖，下班后直接去健身房等，保证每天足够的活动时间，这样才能培养好的健康习惯。,4,https://mandarinbean.com/do-not-sit-for-long-periods-of-time/
送礼物,Send a Gift,如果你的朋友结婚，你会送什么礼物？如果问你的中国朋友，可能他们会说：没关系，不需要礼物。当然，这么重要的事情，我们不可能不送礼物。大多数人一般会送钱，因为买东西很麻烦，结婚的朋友可能不需要或者不喜欢这个礼物，送钱很简单，也能表达自己的祝福。如果去朋友家玩，一般可以买一束花，一盒茶，一些好吃的东西，或者一瓶酒，这些礼物都可以。,3,https://mandarinbean.com/send-a-gift/
元宇宙,Metaverse,不久前，脸书（Facebook）的CEO表示，未来几年，脸书将从一家社交媒体公司变成一家元宇宙公司，因此掀起了一阵全球元宇宙热。其实除了脸书以外，微软、腾讯等大公司都提出了类似元宇宙的解决方案。 究竟什么是元宇宙？元宇宙的英语是Metaverse，最早出现在一本美国的科幻小说中。小说描绘了一个虚拟数字世界，而里面的人都有一个虚拟身份，人们通过控制这个虚拟身份相互竞争，提高自己的地位。 元宇宙这个概念的火爆首先主要是在需求方面，新冠疫情减少了人们的物理联系，增加了虚拟世界的互动时间，需求也逐渐增加。其次，随着技术的发展，很多科幻世界里的场景已经开始变为现实。除了需求和技术，当然还有经济的因素，很多大公司看到了元宇宙的商业前景，除了游戏，还有社交、购物等多方面的机会，这是大家都期待并看好的新一轮增长可能。 目前，无论是技术、规模还是质量，元宇宙依然没有成熟，一切都还在创建中。,4,https://mandarinbean.com/metaverse/
最喜欢的国家,Favorite country,我和家人们现在越来越喜欢出国旅游。我的哥哥喜欢去日本，因为他很喜欢日本文化。我的妈妈喜欢欧洲，因为欧洲有很多漂亮的城市。我的爸爸喜欢美国，因为那些国家公园的自然环境很美。我最喜欢泰国，很多泰国人都能说一点儿英语，去哪儿都很方便，还有漂亮的海和好吃的食物。泰国一直是夏天，这也是我最喜欢的季节。如果能一直在泰国生活就好了！,3,https://mandarinbean.com/favorite-country/
鸡娃,Tiger parenting,你知道“鸡娃”是什么意思吗？如果你认为是鸡的孩子，那就错了。 想要明白这个词，我们首先要知道“打鸡血”的意思。“打鸡血”是一种80年代的保健方法，就是把一岁大公鸡的血注射给人类，据说打了鸡血，就会精神亢奋。当然这种方法并不科学，坏处很明显。因此后来很多人用“打鸡血”这个词形容一些人突然情绪亢奋的现象或者疯狂的状态。 这几年，因为学习竞争非常激烈，为了让孩子变得更优秀，赢在起跑线上，很多家长逼孩子学习很多额外的东西，让孩子和父母都身心疲惫。大家觉得这种疯狂的养育方式就好像在给孩子“打鸡血”，简称“鸡娃”。这里的“鸡”已经从名词变成动词的用法了。,4,https://mandarinbean.com/tiger-parenting/
德国的“中国人”,“The Chinese” in Germany,德国有一个漂亮的小镇，小镇上有6000多个人，从孩子到大人，都是欧洲人的样子。但是，他们却说自己是中国人，自己的小镇是中国人的王国，甚至把汉语也作为小镇的官方语言。每年中国春节，这里都会有热闹的中国狂欢节，大人和孩子都认真地庆祝。据说，这是因为几百年前这里的人就开始和中国人做生意，慢慢喜欢上了中国文化，就开始过中国狂欢节了。,3,https://mandarinbean.com/the-chinese-in-germany/
躺平,Lying flat,“躺平”这个词原本的意思是平卧，也指休息。现在网络上有很多“躺平族”，这是什么意思呢？原来，这里的“躺平”指的是一种不反抗、不努力、不行动的生活态度，把这种态度作为生活理念的群体就是“躺平族”。他们面对生活中的各种压力，选择躺平。 但是，现实生活中，其实很多高喊“躺平”的人并没有真正躺平，依然在努力生活。他们只是在用这种方式嘲讽和反抗现在巨大的生活压力和竞争。,4,https://mandarinbean.com/lying-flat/
野性消费,Wild consumption,2021年7月，河南省遭遇了特大洪灾，一个中国运动品牌低调地捐赠了5000万元的物资帮助河南。这件事被网友发现后，纷纷去这个品牌的网络直播间购物，表达自己对这个品牌的欣赏和支持。由于购物的人太多，消费太多，直播间的主播劝网友理性消费，而大家则表示自己要“野性消费”，也就是不受约束地消费。 当然这种野性消费也有原因，首先是大家对爱心企业的支持，其次就是中国制造的产品质量越来越好，产品物美价廉，让大家可以放心地消费。,4,https://mandarinbean.com/wild-consumption/
梦想房间,Dream room,每个人都有一间自己的梦想房间。孩子更是特别希望有属于自己的房间。最近，上海有一个新计划，帮助家庭有困难的孩子改造自己的梦想房间。房间会改造墙、地、床、灯、桌子、椅子等。刚刚得到自己梦想房间的王同学表示，希望努力学习，以后也可以帮助更多人。,3,https://mandarinbean.com/dream-room/
请病假,Ask for sick leave,最近，王先生因为牙齿痛，预约了两天的牙科检查和治疗，还跟公司请了带薪病假。后来，牙科诊所因为安全检查的原因取消了王先生第一天的预约，而王先生自己把第二天的预约也取消了。虽然牙科预约都取消了，王先生却没有向公司申请取消病假，而是去了香港旅游，还在微信分享自己的旅游照片。公司发现了他在微信的旅游照片，要求他提供这两天的看病记录。因为王先生没有办法提供，公司认为他严重违反了公司的规定，把他开除了。,4,https://mandarinbean.com/ask-for-sick-leave/
